Brand,Paddle Name,Shape,Weight,Swing Weight,Twist Weight,Thickness,Amount off,Discount link,Review
Volair,CTRL 1 Forza,Hybrid,7.9,113.21,6.07,16,10%,http://volair.com/discount/playbook,
6.0,Coral,Hybrid,8.0,110.59,6.62,16,10%,https://sixzeropickleball.us?sca_ref=11145669.B01d6tJmnqn5,
6.0,Coral,Elongated,7.9,112.62,6.06,16,10%,https://sixzeropickleball.us?sca_ref=11145669.B01d6tJmnqn5,
Aireo,Cyclone,Elongated,7.5,112.04,6.18,16,10%,https://www.aireo-sports.com?sca_ref=11106871.iVssdtBF6PakUq4Q,
Gruvn,MUVN-16HD Full Foam,Hybrid,7.6,108.10,6.14,16,10%,https://gruvn.co?sca_ref=10975651.1PBYn4k30m7fDH,
Engage,X2,Elongated,8.0,,,16,10%,https://engagepickleball.com/?aff=601,
Honolulu,J2CR Crystal Blue Endurance Surface,Hybrid,8.0,109.61,6.57,16,10%,https://808pickle.com/products/j2cr-crystal-blue-endurance-surface%E2%84%A2-pre-order?variant=51746641445184,
Honolulu,J3CR Crystal Blue Endurance Surface,Widebody,8.0,,,16,10%,https://808pickle.com/products/j3cr-crystal-blue%E2%84%A2-endurance-surface%E2%84%A2,
Honolulu,J6CR Crystal Blue Endurance Surface,Elongated,8.0,,,16,10%,https://808pickle.com/products/j6cr-crystal-blue-endurance-surface%E2%84%A2-pre-order,
Rebl,Alliance,Hybrid,8.4,119.22,6.68,16,$50,https://reblalliance.lovable.app/,https://youtu.be/VOoscbHplro
